pr,base,state,family,category,title,url
769,icml-appendix-willow-pai2e-r1,MERGED,Loss / weighting,Loss function,Huber loss for outlier-robust pressure regression,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/769
770,icml-appendix-willow-pai2e-r1,OPEN,Physics / features,Open / uncategorized,Reserve dedicated surface slices in PhysicsAttention,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/770
771,icml-appendix-willow-pai2e-r1,CLOSED,Loss / weighting,Loss weighting,Learnable per-channel uncertainty weighting,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/771
773,icml-appendix-willow-pai2e-r1,MERGED,EMA / stability,Regularization,EMA weight averaging (Polyak) for flatter generalization,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/773
774,icml-appendix-willow-pai2e-r1,CLOSED,Physics / features,Model architecture,Wider Transolver: hidden=256 slices=128 heads=8,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/774
775,icml-appendix-willow-pai2e-r1,MERGED,LR / schedule,LR / optimizer,Linear LR warmup + gradient norm clipping,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/775
776,icml-appendix-willow-pai2e-r1,CLOSED,LR / schedule,LR / optimizer,Deeper Transolver: n_layers=8 with LR adjustment,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/776
777,icml-appendix-willow-pai2e-r1,CLOSED,Physics / features,Physics / normalization,Log-Re input jitter for cross-regime generalization,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/777
846,icml-appendix-willow-pai2e-r1,CLOSED,Tooling / audit,Other,Unmodified baseline run (clean reference for Round 1),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/846
859,icml-appendix-willow-pai2e-r1,CLOSED,Loss / weighting,Regularization,"Surface weight scan with EMA: test surf_weight in {10,20,50,100}",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/859
860,icml-appendix-willow-pai2e-r1,MERGED,LR / schedule,LR / optimizer,Align LR schedule to actual 30-min budget: cosine T_max=14 vs OneCycleLR,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/860
862,icml-appendix-willow-pai2e-r1,MERGED,EMA / stability,Model architecture,"Slice count scan on slim model: slice_num ∈ {64,96,128,192} + EMA",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/862
867,icml-appendix-willow-pai2e-r1,CLOSED,LR / schedule,LR / optimizer,AdamW β₂ scan: faster second-moment for heavy-tailed grad dist,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/867
881,icml-appendix-willow-pai2e-r1,MERGED,Loss / weighting,Loss function,Huber δ scan + EMA stack: confirm Huber+EMA compound,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/881
944,icml-appendix-willow-pai2e-r1,CLOSED,Loss / weighting,Loss function,Clip norm fine-scan with full 4-way stack (Huber+EMA+warmup0),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/944
951,icml-appendix-willow-pai2e-r1,CLOSED,Loss / weighting,Loss function,Per-channel Huber δ: separate δ_p from δ_vel on full stack,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/951
957,icml-appendix-willow-pai2e-r1,MERGED,EMA / stability,Regularization,"δ scan {0.1,0.05,0.025} × {clip on/off} on EMA stack",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/957
959,icml-appendix-willow-pai2e-r1,MERGED,Training Efficiency,Training efficiency,BF16 mixed precision for throughput (more epochs/min),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/959
1004,icml-appendix-willow-pai2e-r1,OPEN,Loss / weighting,Open / uncategorized,"Slice scan {8,16,24,32,64} at Huber δ=0.1 + EMA",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1004
1025,icml-appendix-willow-pai2e-r1,CLOSED,Training Efficiency,Training efficiency,BF16 + slice=32 + δ=0.1 + EMA: full triple-win combination,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1025
1027,icml-appendix-willow-pai2e-r1,MERGED,Training Efficiency,Training efficiency,"EMA decay scan {0.99, 0.995, 0.999} on BF16+slice32+δ=0.1 stack",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1027
1053,icml-appendix-willow-pai2e-r1,OPEN,Training Efficiency,Open / uncategorized,BF16 + OneCycle T=20 on slice=32 + 4-way (δ=0.5): add throughput to schedule win,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1053
1054,icml-appendix-willow-pai2e-r1,OPEN,Training Efficiency,Open / uncategorized,"EMA warmup scan {3,5,8} epochs on BF16+OneCycle+slice32+4-way",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1054
1063,icml-appendix-willow-pai2e-r1,OPEN,Training Efficiency,Open / uncategorized,"OneCycle peak LR scan {5e-4,1e-3,2e-3} on BF16+slice32+δ=0.1+EMA=0.995",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1063
1071,icml-appendix-willow-pai2e-r1,OPEN,Training Efficiency,Open / uncategorized,"n_layers scan {5,6,7,8} on BF16+slice32+δ=0.1+EMA=0.995",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1071
1074,icml-appendix-willow-pai2e-r1,OPEN,Training Efficiency,Open / uncategorized,"OneCycle pct_start scan {0.2,0.3,0.4} on BF16+slice32+δ=0.1+EMA=0.995",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1074
779,icml-appendix-willow-pai2e-r2,MERGED,Tooling / audit,Physics / normalization,Round 1 anchor: bare baseline + nl3/sn16/nh1 compound,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/779
781,icml-appendix-willow-pai2e-r2,CLOSED,Physics / features,Feature engineering,Round 1: compound + slice_num=8 (slice floor probe),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/781
782,icml-appendix-willow-pai2e-r2,CLOSED,Model capacity,Model architecture,Round 1: compound + GeGLU MLP (mlp_ratio=4),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/782
783,icml-appendix-willow-pai2e-r2,MERGED,Loss / weighting,Loss function,Round 1: compound + Huber loss (delta=1.0),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/783
784,icml-appendix-willow-pai2e-r2,CLOSED,LR / schedule,LR / optimizer,Round 1: compound + OneCycleLR with 5% warmup,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/784
785,icml-appendix-willow-pai2e-r2,CLOSED,Model capacity,Model architecture,Round 1: compound + n_hidden=192 (width on compressed base),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/785
786,icml-appendix-willow-pai2e-r2,CLOSED,Physics / features,Physics / normalization,Round 1: compound + RMSNorm (replace LayerNorm),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/786
787,icml-appendix-willow-pai2e-r2,CLOSED,Physics / features,Physics / normalization,"Round 1: compound + Fourier feature PE on (x,z)",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/787
821,icml-appendix-willow-pai2e-r2,MERGED,Tooling / audit,Training efficiency,Tooling: AMP/bf16 + batch_size=16 + NaN-safe eval,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/821
840,icml-appendix-willow-pai2e-r2,MERGED,Loss / weighting,Loss function,compound: per-sample relative MAE loss,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/840
841,icml-appendix-willow-pai2e-r2,CLOSED,Physics / features,Feature engineering,compound: slice_num=4 extreme compression (sn4),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/841
842,icml-appendix-willow-pai2e-r2,OPEN,Physics / features,Open / uncategorized,"compound: SwiGLU activation (param-matched, isolated from FourierPE)",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/842
843,icml-appendix-willow-pai2e-r2,CLOSED,EMA / stability,Physics / normalization,compound: gradient norm clipping sweep (max_norm 0.5 and 1.0),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/843
844,icml-appendix-willow-pai2e-r2,OPEN,Model capacity,Open / uncategorized,compound: mlp_ratio=4 (FFN capacity on single-head base),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/844
853,icml-appendix-willow-pai2e-r2,OPEN,Loss / weighting,Open / uncategorized,Huber δ sweep: test δ=0.5 and δ=2.0 on compound base,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/853
854,icml-appendix-willow-pai2e-r2,OPEN,Loss / weighting,Open / uncategorized,Huber + grad accum (accum_steps=2): double throughput on compound base,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/854
855,icml-appendix-willow-pai2e-r2,OPEN,Loss / weighting,Open / uncategorized,Huber + surf_weight sweep: test sw=5 and sw=20 on compound base,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/855
864,icml-appendix-willow-pai2e-r2,OPEN,Tooling / audit,Open / uncategorized,Bugfix: sanitize GT y in evaluate_split to fix cruise NaN poisoning,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/864
865,icml-appendix-willow-pai2e-r2,OPEN,Loss / weighting,Open / uncategorized,AdamW weight decay sweep (wd=1e-5 and wd=0) on Huber base,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/865
866,icml-appendix-willow-pai2e-r2,OPEN,Loss / weighting,Open / uncategorized,EMA model weights for val/test eval on Huber base (decay=0.999),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/866
900,icml-appendix-willow-pai2e-r2,CLOSED,Loss / weighting,Loss function,Loss curriculum: Huber warmup → relative MAE (N warmup epochs),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/900
940,icml-appendix-willow-pai2e-r2,CLOSED,Loss / weighting,Other,"Relative MAE: ε sweep (1e-3, 1e-2, 1e-1) vs default 1e-6",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/940
971,icml-appendix-willow-pai2e-r2,MERGED,Loss / weighting,LR / optimizer,LR warmup (5ep linear) + flip loss_type default to relative_mae,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/971
1008,icml-appendix-willow-pai2e-r2,CLOSED,Training Efficiency,Training efficiency,3rd-seed verification + warmup-length sweep (warmup_epochs 3/5/10),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1008
