label,experiment_index,pr_number,pr_title,pr_created_at,pr_closed_at,pr_merged_at,head_ref,run_id,wandb_project,wandb_name,wandb_group,wandb_tags,wandb_created_at,wandb_url,surface_pressure_rel_l2_pct,abupt_axis_mean_rel_l2_pct,state
drivaerml-long-20260504,2,599,Long DDP8: multi-sigma STRING log-freq init (ki2q9ko9 validation),2026-05-04T10:29:29Z,2026-05-05T05:53:07Z,2026-05-05T05:53:07Z,dl24-frieren/string-multisigma-ki2q9ko9-long,sogus8sx,senpai-v1-drivaerml-ddp8,dl24-frieren/string-multisigma-long-rank0,string-multisigma-ki2q9ko9-long,ddp|dl24-frieren|rank:0,2026-05-04T10:50:33Z,https://wandb.ai/wandb-applied-ai-team/senpai-v1-drivaerml-ddp8/runs/sogus8sx,4.031648784388161,7.9303268680187085,finished
drivaerml-long-20260504,3,600,Long DDP8: volume-point curriculum 16k→65k (r5rw40rn completion),2026-05-04T10:31:35Z,2026-05-04T13:12:12Z,,dl24-nezuko/volume-curriculum-r5rw40rn-long,d7un72fa,senpai-v1-drivaerml-ddp8,nezuko-smoke-volume-curriculum-nocompile-rank0,volume-curriculum-r5rw40rn-long,ddp|dl24-nezuko|rank:0,2026-05-04T10:46:56Z,https://wandb.ai/wandb-applied-ai-team/senpai-v1-drivaerml-ddp8/runs/d7un72fa,6.2667751784813746,11.340003449869533,finished
drivaerml-long-20260504,4,601,Long DDP8: EMA-proxy GradNorm α=0.5 + volume guard (wyz68o8r),2026-05-04T10:33:01Z,2026-05-04T18:33:53Z,,dl24-tanjiro/gradnorm-ema-alpha05-wyz68o8r-long,smd0u05l,senpai-v1-drivaerml-ddp8,tanjiro/ema-decay-0.9997-rank0,tanjiro-ema-decay-sweep,ddp|rank:0|tanjiro,2026-05-04T14:47:58Z,https://wandb.ai/wandb-applied-ai-team/senpai-v1-drivaerml-ddp8/runs/smd0u05l,4.260012923234177,8.352986993365777,finished
drivaerml-long-20260504,5,608,Long DDP8: volume-loss upweight x2.0 (direct volume-pressure gap attack),2026-05-04T13:22:51Z,2026-05-05T08:56:53Z,,dl24-nezuko/volume-loss-upweight-long,6nuflwxx,senpai-v1-drivaerml-ddp8,nezuko-smoke-volweight-v1-rank0,volume-upweight-2x-long,ddp|dl24-nezuko|rank:0,2026-05-04T13:35:44Z,https://wandb.ai/wandb-applied-ai-team/senpai-v1-drivaerml-ddp8/runs/6nuflwxx,14.333714282295018,21.88187324422671,finished
drivaerml-long-20260504,5,608,Long DDP8: volume-loss upweight x2.0 (direct volume-pressure gap attack),2026-05-04T13:22:51Z,2026-05-05T08:56:53Z,,dl24-nezuko/volume-loss-upweight-long,y301z78k,senpai-v1-drivaerml-ddp8,nezuko-volweight-long-rank0,volume-upweight-2x-long,ddp|dl24-nezuko|rank:0,2026-05-04T14:52:06Z,https://wandb.ai/wandb-applied-ai-team/senpai-v1-drivaerml-ddp8/runs/y301z78k,8.368766272767347,14.040257417513136,finished
drivaerml-long-20260504,5,608,Long DDP8: volume-loss upweight x2.0 (direct volume-pressure gap attack),2026-05-04T13:22:51Z,2026-05-05T08:56:53Z,,dl24-nezuko/volume-loss-upweight-long,xixwhi2m,senpai-v1-drivaerml-ddp8,nezuko/arm-a-control-rank0,nezuko-slice-rope-sweep,ddp|nezuko|rank:0,2026-05-04T17:54:58Z,https://wandb.ai/wandb-applied-ai-team/senpai-v1-drivaerml-ddp8/runs/xixwhi2m,4.272385181619879,8.311692574633991,finished
drivaerml-long-20260504,5,608,Long DDP8: volume-loss upweight x2.0 (direct volume-pressure gap attack),2026-05-04T13:22:51Z,2026-05-05T08:56:53Z,,dl24-nezuko/volume-loss-upweight-long,mekagz7v,senpai-v1-drivaerml-ddp8,nezuko/arm-b-rope-after-qknorm-rank0,nezuko-slice-rope-sweep,ddp|nezuko|rank:0,2026-05-04T22:43:04Z,https://wandb.ai/wandb-applied-ai-team/senpai-v1-drivaerml-ddp8/runs/mekagz7v,4.309840159962068,8.357741256713409,finished
drivaerml-long-20260504,5,608,Long DDP8: volume-loss upweight x2.0 (direct volume-pressure gap attack),2026-05-04T13:22:51Z,2026-05-05T08:56:53Z,,dl24-nezuko/volume-loss-upweight-long,0rtvbg2c,senpai-v1-drivaerml-ddp8,nezuko/arm-c-rope-before-qknorm-rank0,nezuko-slice-rope-sweep,ddp|nezuko|rank:0,2026-05-05T03:29:50Z,https://wandb.ai/wandb-applied-ai-team/senpai-v1-drivaerml-ddp8/runs/0rtvbg2c,4.284322306439852,8.334730221458022,finished
drivaerml-long-20260504,6,611,Long DDP8: tau_y×1.2 / tau_z×1.3 per-channel surface weighting (AdamW clean retest),2026-05-04T13:53:31Z,2026-05-05T03:26:51Z,,dl24-fern/tau-static-mild-adamw-v2-long,ug6c3nks,senpai-v1-drivaerml-ddp8,fern/tau-mild-v3-long-rank0,fern-tau-static-mild-v3,ddp|fern|rank:0,2026-05-04T16:33:08Z,https://wandb.ai/wandb-applied-ai-team/senpai-v1-drivaerml-ddp8/runs/ug6c3nks,7.454049050673599,12.406245543898745,finished
drivaerml-long-20260504,7,623,Long DDP8: stronger bounded tau weights tau_y×1.5 / tau_z×2.0 (nh96x7m4 validation),2026-05-04T19:02:31Z,2026-05-05T06:02:58Z,,dl24-tanjiro/stronger-tau-yz-nh96x7m4-long,w7caxnio,senpai-v1-drivaerml-ddp8,smoke-tanjiro-tau-yz-strong-v1-rank0,drivaerml-long-tanjiro-tau-yz-strong,ddp|dl24-tanjiro|rank:0,2026-05-04T19:06:05Z,https://wandb.ai/wandb-applied-ai-team/senpai-v1-drivaerml-ddp8/runs/w7caxnio,31.00335945510085,43.957412285353,finished
