label,experiment_index,kind,number,created_at,url,title,snippet,classification
tay,16,issue,48,2026-04-29T20:50:04Z,https://github.com/morganmcg1/DrivAerML/issues/48,Hows it going? we making progress?,Hows it going? we making progress?,human-labeled issue
tay,20,issue,53,2026-04-29T23:08:53Z,https://github.com/morganmcg1/DrivAerML/issues/53,Infra: stale assignment state,Infra: stale assignment state,human-labeled issue
tay,39,issue_comment,48,2026-04-30T16:45:41Z,https://github.com/morganmcg1/DrivAerML/issues/48#issuecomment-4354384033,Hows it going? we making progress?,hows it going now?,human-labeled issue comment
tay,42,issue_comment,53,2026-04-30T20:29:34Z,https://github.com/morganmcg1/DrivAerML/issues/53#issuecomment-4355933923,Infra: stale assignment state,"Confirmed closed — all 16 yi pods healthy (1/1), all experiments running. The earlier staleness was resolved. Reopening if it recurs.",human-labeled issue comment
tay,61,issue_comment,48,2026-05-01T06:55:23Z,https://github.com/morganmcg1/DrivAerML/issues/48#issuecomment-4358230853,Hows it going? we making progress?,## ADVISOR — pod restart request (frieren + tanjiro) **Date:** 2026-05-01 06:55 UTC Two student pods have hung Claude Code supervisor processes. The advisor cannot terminate or res,human-labeled issue comment
tay,61,issue_comment,48,2026-05-01T07:26:53Z,https://github.com/morganmcg1/DrivAerML/issues/48#issuecomment-4358324982,Hows it going? we making progress?,"**ADVISOR — Research Guidance Response (2026-05-01 ~10:00 UTC)** Thanks for the direction, morganmcg1. Addressing each point: --- ## 1. Are we limited by the number of epochs? **Sh",human-labeled issue comment
tay,61,issue_comment,48,2026-05-01T07:37:00Z,https://github.com/morganmcg1/DrivAerML/issues/48#issuecomment-4358352917,Hows it going? we making progress?,**ADVISOR UPDATE — 2026-05-01 ~08:30 UTC:** ## Correction to prior issue comment My previous comment on this issue also compared tanjiro's **val** vol_p (6.37%) vs SOTA **test** vo,human-labeled issue comment
tay,62,issue_comment,48,2026-05-01T08:07:34Z,https://github.com/morganmcg1/DrivAerML/issues/48#issuecomment-4358442490,Hows it going? we making progress?,**ADVISOR UPDATE — 2026-05-01 ~08:40 UTC — FRIEREN STILL STUCK:** ## Status Summary **Tanjiro has recovered** — the tanjiro pod picked up PR #173 (cosine T_max=50) independently an,human-labeled issue comment
tay,64,issue_comment,48,2026-05-01T09:48:56Z,https://github.com/morganmcg1/DrivAerML/issues/48#issuecomment-4358765826,Hows it going? we making progress?,**ADVISOR — 2026-05-01 ~12:35 UTC — frieren STILL stuck (13.5h+)** Pod `senpai-drivaerml-ddp8-frieren` has been stuck since 2026-04-30 23:14 UTC. PR #147 (compound + wd=2e-3) has n,human-labeled issue comment
tay,65,issue_comment,48,2026-05-01T10:19:22Z,https://github.com/morganmcg1/DrivAerML/issues/48#issuecomment-4358861610,Hows it going? we making progress?,"## Round 11 Survey — 2026-05-01 **tl;dr**: 7 of 8 students running Round 11 single-delta sweep vs PR #115 SOTA (test=10.580, val=9.484). No results yet — all mid-training. Frieren ",human-labeled issue comment
tay,70,issue_comment,48,2026-05-01T13:56:59Z,https://github.com/morganmcg1/DrivAerML/issues/48#issuecomment-4359621498,Hows it going? we making progress?,"## Status Update — 2026-05-01 (Round 12, fresh W&B poll) **All 8 GPU slots occupied. Current SOTA: 9.484% val / 10.580% test (PR #115).** ### In-flight experiment status | Student ",human-labeled issue comment
tay,82,issue,252,2026-05-01T19:41:55Z,https://github.com/morganmcg1/DrivAerML/issues/252,Get inspired by Modded-NanoGPT,Get inspired by Modded-NanoGPT,human-labeled issue
tay,94,issue,285,2026-05-01T22:14:35Z,https://github.com/morganmcg1/DrivAerML/issues/285,Consider Group Representational Position Encoding,Consider Group Representational Position Encoding,human-labeled issue
tay,131,issue_comment,285,2026-05-02T15:12:45Z,https://github.com/morganmcg1/DrivAerML/issues/285#issuecomment-4364106535,Consider Group Representational Position Encoding,How did this experiment go?,human-labeled issue comment
tay,192,issue,606,2026-05-04T12:24:37Z,https://github.com/morganmcg1/DrivAerML/issues/606,Empty assignment PR merged before student ran,Empty assignment PR merged before student ran,human-labeled issue
tay,196,issue,618,2026-05-04T15:39:25Z,https://github.com/morganmcg1/DrivAerML/issues/618,Explore true STRING/RoPE beyond input STRING-sep,Explore true STRING/RoPE beyond input STRING-sep,human-labeled issue
tay,198,issue_comment,618,2026-05-04T17:07:12Z,https://github.com/morganmcg1/DrivAerML/issues/618#issuecomment-4372930764,Explore true STRING/RoPE beyond input STRING-sep,HUMAN CLARIFICATION: Please do not treat experiments 2/3/4 as conditional on experiment 1 results. All four proposed experiments should be run eventually on the tay track: 1. Learn,human-labeled issue comment
tay,199,issue_comment,618,2026-05-04T19:20:33Z,https://github.com/morganmcg1/DrivAerML/issues/618#issuecomment-4373836183,Explore true STRING/RoPE beyond input STRING-sep,**ADVISOR UPDATE — Exp 2 assigned** PR #624 has been opened for alphonse: *point-level pre-slice STRING rotation in Transolver*. **Status of all 4 STRING/RoPE tracks:** | Exp | Des,human-labeled issue comment
tay,203,issue,644,2026-05-04T23:15:00Z,https://github.com/morganmcg1/DrivAerML/issues/644,Askeladd pod hung,Askeladd pod hung,human-labeled issue
tay,203,issue_comment,644,2026-05-04T23:31:38Z,https://github.com/morganmcg1/DrivAerML/issues/644#issuecomment-4375312047,Askeladd pod hung,## Update — pod still hung 3.5h after issue filed The pod `senpai-drivaerml-ddp8-askeladd` is **still frozen at iteration 183** as of 23:31 UTC. No new heartbeat iterations since 2,human-labeled issue comment
tay,220,issue,717,2026-05-05T15:57:56Z,https://github.com/morganmcg1/DrivAerML/issues/717,Push for Volume improvements,Push for Volume improvements,human-labeled issue
tay,222,issue_comment,618,2026-05-05T17:18:00Z,https://github.com/morganmcg1/DrivAerML/issues/618#issuecomment-4381477666,Explore true STRING/RoPE beyond input STRING-sep,Keep iterating on this idea a little more please - what experiments were close and showed promise? what can we tweak/modify/adjust in the training run to try and improve them. woul,human-labeled issue comment
tay,231,issue_comment,717,2026-05-06T00:32:14Z,https://github.com/morganmcg1/DrivAerML/issues/717#issuecomment-4384236982,Push for Volume improvements,## Issue #717 status check — first Tay volume wave I checked the PRs spawned from this issue plus the latest W&B summaries. Current read: **no single-model test-volume win yet**. T,human-labeled issue comment
tay,240,issue,759,2026-05-06T06:38:52Z,https://github.com/morganmcg1/DrivAerML/issues/759,Optional Bengio PR ideas for surface-error work,Optional Bengio PR ideas for surface-error work,human-labeled issue
yi,16,issue,18,2026-04-28T20:24:10Z,https://github.com/morganmcg1/DrivAerML/issues/18,Ensure you're really pushing hard on new ideas,Ensure you're really pushing hard on new ideas,human-labeled issue
yi,16,issue_comment,18,2026-04-28T20:26:27Z,https://github.com/morganmcg1/DrivAerML/issues/18#issuecomment-4338807654,Ensure you're really pushing hard on new ideas,"good, ensure to update your CURRENT_RESEARCH_STATE.md with those key directives too",human-labeled issue comment
yi,16,issue,19,2026-04-28T21:20:00Z,https://github.com/morganmcg1/DrivAerML/issues/19,Don't log gradients too frequently,Don't log gradients too frequently,human-labeled issue
yi,20,pr_comment,23,2026-04-29T18:40:39Z,https://github.com/morganmcg1/DrivAerML/pull/23#issuecomment-4346533776,[frieren] Round-2: FiLM + projection + protocol full composition stack,OPERATOR: Pausing this follow-up assignment temporarily so student:frieren can first resolve the active dependency PR #8 rebase/merge blockage. Removing student:frieren from this P,explicit human/operator prefix
yi,20,pr_comment,23,2026-04-29T18:41:08Z,https://github.com/morganmcg1/DrivAerML/pull/23#issuecomment-4346538237,[frieren] Round-2: FiLM + projection + protocol full composition stack,"OPERATOR UPDATE: Using the cleaner paused state for this follow-up: keeping student:frieren for ownership, but removing status:wip so it is not picked up until PR #8 lands.",explicit human/operator prefix
yi,24,pr_comment,28,2026-04-29T18:40:39Z,https://github.com/morganmcg1/DrivAerML/pull/28#issuecomment-4346533777,[norman] Round-2: SE(3) local-frame coord features (A02),OPERATOR: Pausing this follow-up assignment temporarily so student:norman can first resolve the active dependency PR #13 rebase/merge blockage. Removing student:norman from this PR,explicit human/operator prefix
yi,24,pr_comment,28,2026-04-29T18:41:08Z,https://github.com/morganmcg1/DrivAerML/pull/28#issuecomment-4346538244,[norman] Round-2: SE(3) local-frame coord features (A02),"OPERATOR UPDATE: Using the cleaner paused state for this follow-up: keeping student:norman for ownership, but removing status:wip so it is not picked up until PR #13 lands.",explicit human/operator prefix
yi,28,issue_comment,18,2026-04-29T14:44:09Z,https://github.com/morganmcg1/DrivAerML/issues/18#issuecomment-4344795618,Ensure you're really pushing hard on new ideas,hows it going?,human-labeled issue comment
yi,29,issue_comment,18,2026-04-29T19:21:50Z,https://github.com/morganmcg1/DrivAerML/issues/18#issuecomment-4346833013,Ensure you're really pushing hard on new ideas,Hows it going? we making progress?,human-labeled issue comment
yi,29,issue_comment,18,2026-04-29T19:26:44Z,https://github.com/morganmcg1/DrivAerML/issues/18#issuecomment-4346861973,Ensure you're really pushing hard on new ideas,"are we pretty limited by the number of epochs? ensure you're using all logged metrics (including the grads, weights, slope etc) to make decisions about what was promising. do take ",human-labeled issue comment
yi,57,issue_comment,18,2026-04-30T20:29:19Z,https://github.com/morganmcg1/DrivAerML/issues/18#issuecomment-4355932592,Ensure you're really pushing hard on new ideas,"**ADVISOR UPDATE — 2026-04-29** Morgan, you're right that I haven't been bold enough. Let me be concrete about what I'm committing to and why. --- ## Where we are PR #99 (fern, lr=",human-labeled issue comment
yi,156,pr_comment,377,2026-05-02T15:11:57Z,https://github.com/morganmcg1/DrivAerML/pull/377#issuecomment-4364105130,edward: Muon optimizer on current SOTA (AdamW vs Muon 2-arm),HUMAN RESEARCHER: Why wait for the timeout? just kill runs that aren't working and re-launch if you don't think anything valuable will be learned from the run,explicit human/operator prefix
